Nr.,Comment in English,Spam / Ham,Polarity,Feature Request,Problem Report,Safety,Efficiency
3244,"what if one platform stopped working?

everyone else will be trapped in the tunnel, and most likely the oxygen level there is very low",ham,neutral,,x,x,
3262,What if we get stuck underground?,ham,neutral,,x,x,
3266,how stable would the surface be? that looks like sinkhole city to me.,ham,neutral,,x,x,
3278,But entering in tunnel should be more fast. and should be able to enter more than one car in only one time.😢,ham,neutral,,x,,x
3282,"dumb idea, i can see an easy terrorist attack happening.",ham,negative,,,x,
3286,"Fuck No.
1.if someone is in danger and they need an ambulance because of an accident or something in the car how will any assistance reach them underground at 124mph
2. They would need to make a platform big enough for every car and what if small cars get on? this seems only directed towards sedans and such
3. how easy would it be for someone to get stuck down there because of a malfunction, how fast will another car behind it smash into it",ham,negative,,x,x,
3295,The tunnels will eventually get congested like the surface roads. Lol,ham,neutral,,x,,
3300,And what happens if there is underground traffic?,ham,neutral,,x,,
3303,how would this be built in a city that has an existing underground subway system?,ham,neutral,,x,,
3305,Where would this be useful? There isn't enough room in underground NYC for subway trains yet alone individual cars.,ham,neutral,,x,,
3314,"Breaks down in tunnel. Also, why only Tesla?",ham,neutral,,,,
3318,"I do see one hole in this as shown on the video. When the platform descends beneath the street it leaves a huge hole that another car or 
pedestrian could fall into. I know the system wouldn't be built like that but....",ham,neutral,,x,x,
3319,This is a bad idea waiting to happen. What if someone decides to open their door? Or what about kids. I like Elon but...,ham,neutral,,x,x,
3342,"And why the rails, it is better to leave the lift and just make underground autobahns!",ham,neutral,x,,,
3358,"A simple subway system with park&ride can transport way more people per hour, per dollar,
 per everything. But this would probably be too boring.",ham,neutral,,,,x
3359,"How much would that cost to implement? There's zero infrastructure would have to start from scratch.would like to see safety measures. 
How would you get to people in an accident ? What I there was a fire ?",ham,neutral,,,x,x
3361,"Yeah, it looks awesome! But wait... If we'll have these tunels for travel,  why the hell do we need cars? 
Would not be easyer (and cheaper) to build high capacity subway train network?",ham,neutral,x,,,
3369,"Mass transit is the future. Not ""one person, one car, tuneels""",ham,neutral,,,,x
3373,Earthquake proof?,ham,neutral,,x,x,
3374,Lift is the bottleneck.. Paternoster-lift?,ham,neutral,x,x,,
3376,"Wait....what happens to the space where the elevator is, once the elevator goes down? Do vehicles just fall?",ham,neutral,,x,x,
3380,How is it any different from putting cars on rails ABOVE the ground?,ham,neutral,,,,
3391,"why not build a subway? less expensive, less complicated to build, and a lot more efficient
 as it can transport thousands of people in one ride.",ham,neutral,x,,,x
3392,I had this idea before but one malfunction and everyone dies,ham,neutral,,x,x,
3394,"More roads means more cars.
..But where will they all park? o_O",ham,neutral,x,x,,
3401,"Only idiots who see pretty graphics and are immediately sold think this is a good idea. It only takes a minute of using your brain to think of why 
this is a very bad idea. Our cities are overloaded with cars and we can't afford the infrastructure to maintain it now.. how does building more infrastructure toward cars make any sense? you're just adding more to the problem. completely unsustainable.",ham,negative,,,,
3405,Now what the fuck is going to hold up the city if the foundations are dug up in order to make tunnels,ham,neutral,,,,
3413,"Cars are such an inefficient use of space, this shouldnt the future. Mass Transit should be the future. Less space and more
 ppl move. Just improve an existing idea. This seems cool and convenient but is completely unsustainable long term. It takes only one of those rail lines breaking to hold up everyone just like a regular highway. I hope this fails. Plus imagine how much tax dollars would have to go into maintaining such a huge piece of infrastructure like this. We already can't even maintain our own existing highway and roadway system 😑",ham,negative,,x,,x
3421,"How do you stop people from driving into the opening when the transporter lowers a vehicle down? 
Or people on cell phones from walking right into a huge gap in the road? Hmmm...",ham,neutral,,x,x,
3438,"Cool idea, but I bet it's gonna be a luxury service to skip traffic like that. Only rich people will be able to afford it.",ham,neutral,,,,
3457,I am an advocate for this.. But how can underground infrastructure be done so affordably?,ham,neutral,,,,x
3465,1 earthquake and the systems is down for a month,ham,neutral,,x,x,
3473,Hopefully it comes with earthquake proof.,ham,neutral,x,,,
3496,And then an earthquake happens all of the sudden...,ham,neutral,,x,x,
3498,"you want engines running in very long tunnels? with people? lol the amount of safety that will be
 required will multiply the cost of this system.",ham,neutral,,,,x
3505,"Looks good actually....but impossible to be achieved....there are lots of unaccounted variables...like soil conditions...
.how far below the ground surface....increasing the speed actually decreases traffic. What about the safety conditions?? Where will the excavated  earth go ??  What are the dimensions of the tunnel created ?? Etc...plus why not above the surface??",ham,neutral,,x,x,
3509,And how are you going to remove the underground subway system and replace it with this?,ham,neutral,,,,
3524,My question is what are you going to do when an idiot drives his car into the empty hole after it descends into the tunnel?,ham,neutral,,x,x,
3525,It'll be scary to be down there when an earthquake comes around and your ass gets swallowed up,ham,negative,,x,x,
3529,The line of cars waiting to get on this would be crazy. I can't imagine anyone being that patient.,ham,negative,,x,,
3530,what about earthquakes?,ham,neutral,,x,x,
3543,what happens during earthquake?,ham,neutral,,x,x,
3544,What about earthquakes,ham,neutral,,x,x,
3549,How do you stop people from falling down the elevator shaft after the skateboard descends?,ham,neutral,,x,x,
3554,Isn't this going to fuck with groundwater and aquifers and shit like this?,ham,neutral,,x,,
3556,"so only one car at a time ?

that shit will cost too too much",ham,neutral,,,,x
3561,Just imagine. Traffic would just turn into a huge line waiting for the car elevator,ham,neutral,,x,,
3580,"Utterly unaffordable at the scale shown. Besides, texting Americans are doing to stumble into the openings
 and sue any involved parties into oblivion.",ham,negative,,x,x,x
3585,"Love the concept, but the won't you get sued by everyone who dies down there if an earthquake 
happens or will you be charging a fee to use the boring system and have it say they can not sue you if such an event happens?",ham,positive,,,x,
3586,no internet under ground,ham,neutral,,x,,
3591,"In theory it's nice, but if this came into production I would be concerned of the strength of the

 Earth's surface above tunnels. I would expect some frequent sinkholes.",ham,neutral,,x,,
3593,"This is almost impossible to integrate.  City's where this would be useful, like New York, have subway tunnels, 
utility lines, and a ton of other things under ground.  Not to mention the dozens of faults this could have and be unnoticeable because your moving so fast, even if you had a worker check.",ham,negative,,x,,
3599,"Just saying that this idea will probably cause a lot of sink holes to happen, which will in turn cause alot in damages.
 Sink holes happen when there is an underground cave  but over time water run off seeps in. Water then breaks down most of the limestone within the caves and collapses, bringing down the top of the land. This seems cool and I would love it but realistically this will create a lot of problems. As a geography student please look into the downsides before you waste a lot of money and cause a lot of sink holes",ham,neutral,,x,x,
3601,"Better eliminate cars.... or make tunnels above ground! What about earthquake, weather disasters, terror atack, malfunction etc in the tunnels?
",ham,negative,x,x,x,
3602,"But, like, what about the giant fucking holes left in the street for anyone to drive/fall into? It seems like 
Elon Musk's real agenda is to get rid of blind people.",ham,negative,,x,x,
3604,This will be great for new cities.. Because it will be really hard to implement it in current cities.,ham,positive,,,,
3612,What happens during an earthquake?,ham,neutral,,x,x,
3613,What if a crash happens underground,ham,neutral,,x,x,
3620,Is there idiot-profing to prevent someone from getting out of their car in the tunnel?,ham,neutral,,x,x,
3630,"Why not let the self-driving cars self-drive themselves (maybe give them a line to follow?) 
and eliminate the need for the extra carrying device? It seems like a completely unnecessary component, just have a simple elevator instead and require self-driving in the tunnel so there aren't crashes.",ham,neutral,x,,,
3645,"Subway systems would be a better use of your time. Each of these cars is going to fit like 5 people tops, vs. thousands on a single train.Electric trains are far more energy efficient because of the weight to passenger ratio.You can manage a subway system easily with cheap, off-the-shelf 
computer technology. The system in the video is going to require some 
kind of advanced supercomputer to handle merging, ingress and egress, 
etc...What's pictured doesn't solve traffic, it makes it worse. If 
everyone has to drive to get to the tunnel entrances you're going to be 
stuck in traffic waiting to get in and out.If tunneling is orders of magnitude cheaper, suddenly there can 
be a subway line within walking distance of everything important in an 
urban core, and you don't need  a car for the last mile 
problem. From an urban planning perspective, a car-free or car-lite 
streetscape is much healthier for pedestrians, and in turn better for 
retail economies in the urban core.I forgot the most important part. MAINTENANCE COSTS. A more
 complex system is going to break more and it's going to be harder to 
fix when it does break. What's more complex? The system in this video? 
Or a railroad?Credit to /u/old_gold_mountain",ham,neutral,x,x,,x
3656,"what about the big hole in the ground, once the car goes down?",ham,neutral,,x,x,
3680,What happens if someone opens the door while it still is going 124 mph?,ham,neutral,,x,x,
3684,"HELLL NAWWW! what if the car is loose or gets loose, and all the cars have a chain reaction at 125 MPH!?",ham,negative,,x,x,
3685,What fills the wholes after going down to the tunnel?,ham,neutral,,x,,
3737,What about the gutters and earthquakes and where will the rain water go? So many questions.,ham,neutral,,x,x,
3744,Two words: earthquakes and hackers,ham,neutral,,x,x,
3746,"This needs serious reconsideration about what happens while the car is going down. 
Another car or people can fall in the ditch. It should have been like a pit stop separate area that is accessible from the main road but not part of it. If this is not a joke then future is doomed.",ham,neutral,,x,x,
3751,"Looks cool but will it be effective? The sheer amount of tunnels you'll need to dig to make this work seems as 
if you won't end up reducing a lot of traffic. After all, there will still be a wait to get into the underground tunnels, which is effectively the modern equivalent of a traffic light.",ham,neutral,,,,x
3757,traffic jams at the entrances would be insanely huge,ham,negative,,x,,
3767,"What do you think of the glass bus thing?
Is that a private or public vehicle? I haven't seen anything like that before. Could that be a concept for the future of teslas inner city autonomous bus network? It somewhat features in the video, but maybe I'm looking into it too much.",ham,neutral,,,,
3774,put a super charger on every lift so i can charge my electric car,ham,neutral,x,,,
3775,"Two questions.

1. How are these going to hold up in an 8+ earthquake 

2. If I have the mineral rights to my property what's the incentive for me to allow this across? Eminent domain only works if the end product is for the good of all (taking my land then slapping a toll road on it is just bad form)",ham,neutral,,x,x,
3816,"I dont get it there would be such long lines just to enter the thing and then youd have to wait for the
 people getting lifted out like the entry and exit strategy for this makes no sense to me. You cant have every block or every other block be an entrance because then thered be no where to park so how would this work?",ham,neutral,,x,,
3831,All fun and games until one car gets stuck and the whole system gets backed up.,ham,neutral,,x,,
3836,What if there is a earthquake,ham,neutral,,x,x,
3837,"This sounds really cool, but there are some complications I hope he's gonna release solutions to in the future.
 1) the already mentioned problem of covering those holes 2) the demand for these systems will be pretty high, so he needs to plan for having more than one car lined up in wait to go underground and 3) how emergency staff could get in in the event of a natural disaster that shakes the earth, such as an earthquake",ham,positive,x,x,x,
3847,They should at least put a warning sign or bar side of it so no get trip or car drop in a hole,ham,neutral,x,x,x,
3850,this is hell for claustrophobic people,ham,negative,,x,,
3852,"There would still be traffic, everyone waiting in line to get on it",ham,neutral,,x,,
3863,you just know that people are gonna climb on it,ham,neutral,,x,x,
3864,And then there's an earthquake,ham,neutral,,x,x,
3871,"Brilliant idea solving our 2 dimensional traffic crisis into a 3 dimensional solution. My concern is earthquakes,
 they would have to move so much ground material, plus if you're anywhere near a fault line you are asking for a disaster.",ham,positive,,,x,
3899,Part of the joy of driving is seeing the view and enjoying sunlight.,ham,neutral,,x,,
3904,Quick question: Where did you put the subways and the internet/power lines?,ham,neutral,,x,,
3916,What happen if it had earthquake,ham,neutral,,x,x,
3920,"the tunnels might be used for crime;  3 men gang up on someone while the pod is moving
.  Or the  tunnels could collapse,  a car might roll off the pod or a child or pet might fall into the the tunnel.  Just building the network of tunnels would be insanely hard,  why go through all that trouble",ham,negative,,x,x,
3935,"very amazing plan which would take very little debri from idiots throwing something out of there
 window to stop an entire line of traffic. With that and many other challenges in mind this project would be amazing.",ham,neutral,,x,,
3943,"why just build train tunnel. that thing just making even worse traffic jam,  and good luck building that on earthquake area",ham,negative,,x,x,
3950,wouldn't you need to ventilate out the CO2 emissions from the tunnel...ohh wait...,ham,neutral,,x,,
3952,I'm curious about what safety measures they plan to use in this.,ham,neutral,,,x,
3962,"Wouldn't it make sense to put large openings to the tunnels in high trafficked areas,
 and use lifts to take vehicles out of the tunnels?  Honestly for this to work efficiently a lot needs to happen first, but if anyone can do it that person is Elon Musk.",ham,neutral,x,,,x
3964,"Great idea, but no one realized how much easier a terrorist could harm many people, and how many more hazards could be caused. 
Plus how hard it would be to monitor this",ham,neutral,,x,x,
3993,"1) have to cover the holes in the street while the elevator are not at the surface.
2) getting all those entry/exit points around existing infrastructure in the streets (water, gas, elect, telecom) will be expensive
3) I thought self driving cars were going to solve our traffic problems as they can go 100 miles an hour without crashing into each other

But a faster/cheaper way to bore subway tunnels (and subway stations) would be greatly appreciated",ham,neutral,x,x,,x
4005,"Seems like a lot of money and time, rather just have autonomous cars that all work together to creat ultimate efficency.",ham,neutral,x,,,x
4010,Imagine parking on one of these on accident...,ham,neutral,,,,
4012,This thing starts become interesting when you can use this system as a public transportation as in 0:46 mark,ham,positive,,,,
4017,"I see one flaw and that would be the people who are waiting to get on the high speed way. If this ever comes out, 
they would need to make a sperate road for the waiting line so that not cars start to pile up on a already busy street.",ham,neutral,x,x,,
4027,Why have your car drive itself when another car can drive it for you!,ham,neutral,,,,
4066,imagine falling down one of those holes by accident,ham,neutral,,x,x,
4076,What if while a car is going down another car falls in?,ham,neutral,,x,x,
4086,"I find​ this concept unnecessary, with hyperloop coming, sooner or later long distance travel problems will be solved and with the eventual
 automisation of cars and other vehicles, traffic problems can be solved before the tunnel network starts operating (there is probably something im missing out which makes this feel unnecessary to me, it would be great if someone could explain this company's importance)",ham,negative,,,,
4094,Why the rails? Why not just an autonomous highway?,ham,neutral,,,,
4108,"I request a detailed response on how ""Boring Company"" would troubleshoot this commuting system under the event of an earthquake.",ham,neutral,,,x,
4114,Thousands of underground computer-driven cars taken over by hackers? Nothing boring about that!,ham,negative,,x,x,
4120,"They forgot to include the massive queue of cars waiting to get on the elevators, blocking traffic at street level.",ham,negative,,x,,
4123,"Flawed design. Moving parts up and down from a filthy street with tracks is sure to cause major problems and frequent repairs. 
Cost will be extremely high. Self driving cars are safer and more realistic. The tracks are the lines, governed by GPS and LIDR in real time instead of a timed and sync system, along with no new construction or need to design anything new.",ham,negative,x,x,x,x
4129,What if someone needs to go to the bathroom?,ham,neutral,,x,,
4130,"This is beyond stupid.

""Once underground, the car will travel along in a sled...""

There are an estimated 275,000,000 cars in America. If only half of them made use of this system that's still a fuck ton of sleds.

Ignoring the sheer magnitude of the engineering hurdles involved in building a system like this, the control management system to make sure a sled is always available is nigh impossible.",ham,negative,,x,,
4131,"no gates when it goes down, so many people would drive and fall threw the hole killing themselves",ham,negative,,x,x,
4137,"I know that this is a very early concept, but I think the design of the carriages would probably require something to prevent someone deciding to get out at 
124mph!  And the big uncovered holes opening up in a busy street looks like fun too!  Love the idea though.",ham,neutral,,x,x,
4159,"Not going to work. Do you know how stupid people are? What if they drive off the platform? Entire operation comes to a hault. 
How on earth do you expect little chinese ladies to drive onto the platform? Terrible idea.",ham,negative,,,,
4168,"imagine getting on one on accident: ""Well, boss, I'm late because I'm on my way to Los Angeles, even though our meeting is in Houston.""",ham,neutral,,x,,
4190,why the need for an elevator rather than just a ramp? seems inefficient,ham,negative,,,,x
4198,what about earth quakes,ham,neutral,,x,x,
4228,"I am agianst automatic cars I like the manual aspect of driving and this looks like a great way to reduce traffic problems
 whilst not making our cars into full blown automated robots",ham,neutral,,,,
4230,"But California is very EARTHQUAKE prone. This would be safer in East, Central or South US. One major earthquake in Los Angeles and those tunnels will be inoperable for weeks or months.

What If one of those carriers breaks, how do you go deep underground to fix it?",ham,neutral,,x,,
4231,So many accidents with people falling in those.,ham,negative,,x,,
4239,"How do you ventilate all those miles of tunnels? It it only for zero emission tesla cars? What about the rest of us poor people! 
Are we doomed to roam the surface forever?",ham,neutral,,x,,
4244,"Maybe I'm just weird, but going at 124 mph seems a bit fast. Although I guess that's the point. 
But if something malfunctions and you crash, at that speed.... 0_0",ham,neutral,,,x,
4247,"it's basically a subway system with the ability to transport cars. it's still just a subway system. why transport cars which can be driven themselves?
 just make an elaborate tunnel highway that people can opt to drive on to relieve traffic above ground. seems to over complicate things with the car transport and elevator.",ham,neutral,x,,,
4272,And what happens when there's a crash underground?,ham,neutral,,x,x,
4274,Love the audacity but the elevator aspect seems a huge bottleneck considering the cost. There's got to be a better way to do that...,ham,neutral,,x,,x
4275,"That would be so inefficient, one car at a time....",ham,negative,,,,x
4279,"Now just imagine how expensive and laborious maintenance would be. If any part of the tunnel system shuts down, 
it would be catastrophic",ham,negative,,,,x
4282,imagine how scary it would be if it stopped working and u were stuck down there,ham,negative,,,x,
4301,This is for cities outside of California correct because I don't see this happening in a city where earthquakes are inevitable.,ham,neutral,,,x,
4311,Legitimately... Why you make a slow elevator when you could just make a ramp to drive down?,ham,neutral,x,x,,
4349,that seems like a really slow way to enter the tunnels and not good for the flow of traffic,ham,neutral,,x,,
4367,"I have a bright idea. How about we don't take the whole car with us into a tunnel. A person can take a sort moving platform or 
stairs down and get into a pod with other people after which they all travel in the same direction. The pod stops at different intervals so people can get off. Sorta like a subway...",ham,neutral,x,,,
4369,"i would hope though, that when a car goes down there can be a roof that covers that hole, otherwise kids or whatever 
else would fall down the 5 story trip down.",ham,neutral,,x,x,
4376,Needs more Tron-bike-lights on the sides of the carriers.,ham,neutral,x,,,
4382,"Not sure a lift is the right way to do it - what if someone drives into the hole whilst you're switching cars? I'd imagine that things like that would 
get easier to avoid in the future with networked self driving cars, but you're not going to get 100% adoption any time soon.",ham,neutral,,x,,
4383,"Would they even need the ""docking car"" or whatever they call it for self driving cars? I get that it might be beneficial for gasoline cars 
because of the exhaust problem. But this would totaly be doable without the need for a tunnel with self driving cars on a road, you just can't mix them with normal drivers. Only beneficial thing is that this removes traffic from the roads but if you had self driving cars that goes over 200 km/h on the road with no human errors there would be no congestions on the high ways",ham,neutral,,,,
4394,"Elon if you can read this please do not make an individual carrier car for each car that enters the tunnel, start off with big carrier cars that
 hold multiple cars and stop at major outlets. Benefit of aerodynamics to have each carrier car carrying multiple cars bumper to bumper.",ham,neutral,,,,
4403,"It is unclear why the platform should drive the mesh, and not she herself, let's say, was driving on autopilot. It will take hundreds 
of thousands of platforms and charge them constantly. ",ham,neutral,x,,,x
4407,"Awesome concept. Revolutionary. Just don't use this technology in an earthquake prone area. 
And when will Elon come out with the personal tube transport demonstrated in Futurama?",ham,positive,,x,x,
4417,"What happens when gang bangers start throwing people out of the cars at 130mph? Or when they throw 
garbage out? Suddenly the whole thing comes to a screeching halt, and we are stuck in traffic again, except that we are stuck fifty feet underground, with the nearest exit five miles away. Or how about when someone has a heart attack on this thing. How are emergency services going to get to them. What if there is a power failure. It is easy to make futuristic videos. Very easy.",ham,negative,,x,x,
4424,"This really won't work at all. You'll just create more traffic as people wait for the elevators that can take one car at a time,
 and seismic activity will be hellish on a network of tiny tunnels.",ham,negative,,x,,
4426,"Hey, why not have underground parking lots based on the same system while you're at it. Underground malls too.",ham,neutral,x,,,
4434,What's the point of putting the car on another vehicle if the car can drive by itself already?,ham,neutral,,,,
4435,"Stupid as hell, I don't see how this will work at all. First of all, it looks like you have to wait a while to even get on a platform. 
Then, it doesn't even show a secure way to fasten the car to the cart. This video completely forgets about momentum and intertia. What happens if two carts crash? It looks like there is no AI on these mindless carts to compensate for extrenuous situations, they are just carts on underground rails. The amount of funding, equipment, and workers you would need for such an immense projects makes it not even worth it, especially if it still needs at least a decade to even happen. If you want faster traffic, invent flying cars or vehicles like star wars and invest in civilian flight paths....",ham,negative,x,x,x,x
4440,"This works for one car but when you have a pileup of cars trying to get in I don't see how this is faster than just
 building a ramp into a regular tunnel...",ham,neutral,,x,,x
4442,"Seems more efficient to just have normal roads leading underground and choose a few convenient entry and exit points around a city. 
All the elevators will cost the Earth to build and maintain, and I can just see how streets will get ruined by congestion caused by cars queuing for an elevator.",ham,neutral,x,x,,x
4455,What stops terrorists from lowering a car loaded with explosives into the ground to disrupt the system?,ham,negative,,,x,
4457,Why not just hyperloop it?,ham,neutral,,,,
4458,"I don't think those platforms would be necessary for Tesla cars, or any other fully autonomous cars, because they already know how to drive themselves.
 I think those platforms would be necessary only for cars that don't have autopilot. And by the time this will become a reality... I don't think there's going to be a lot of cars without autopilot and the ability to communicate among each other.",ham,neutral,x,x,,
4459,Then you'll create more traffic above with people  waiting for one of these fucking platforms to arrive... absolutely stupid,ham,negative,,x,,
4464,"That looks extremely expensive and I understand that you can't let people drive themselves in multi layered tunnels for security 
and pollution reasons, but imagine one of these car carriers to break down and causing an accident... deep underground on the 3rd layer. Or imagine a simple earthquake. It would be so difficult for search and rescue teams to operate there.",ham,negative,,x,x,x
4465,"I don't know...this doesn't seem like a good idea. To have an excessive network of tunnels underground seems
 like it is encroaching on environmental balance.",ham,negative,,x,,
